transaction_id,store_id,timestamp,sku_id,quantity,unit_price,total_amount
tx_0,store_1,2026-01-03 03:26:00,sku_7,2,3.55,7.1
tx_1,store_3,2026-01-09 10:16:00,sku_4,3,13.59,40.77
tx_2,store_3,2026-01-03 16:24:00,sku_2,3,2.09,6.27
tx_3,store_2,2026-01-21 03:26:00,sku_3,4,9.12,36.48
tx_4,store_2,2026-01-25 23:05:00,sku_2,1,2.37,2.37
tx_5,store_1,2026-01-02 16:56:00,sku_4,2,12.66,25.32
tx_6,store_1,2026-01-25 06:56:00,sku_5,4,2.66,10.64
tx_7,store_2,2026-01-29 21:52:00,sku_4,2,13.52,27.04
tx_8,store_3,2026-01-18 05:45:00,sku_4,1,12.63,12.63
tx_9,store_2,2026-01-06 17:53:00,sku_7,1,3.35,3.35
tx_10,store_2,2026-01-13 13:16:00,sku_5,2,1.43,2.86
tx_11,store_2,2026-01-04 07:42:00,sku_6,2,6.82,13.64
tx_12,store_2,2026-01-26 17:50:00,sku_4,3,11.26,33.78
tx_13,store_1,2026-01-11 15:08:00,sku_7,2,4.95,9.9
tx_14,store_1,2026-01-14 21:18:00,sku_5,4,4.45,17.8
tx_15,store_3,2026-01-24 08:48:00,sku_7,2,3.1,6.2
tx_16,store_2,2026-01-23 14:09:00,sku_6,1,9.47,9.47
tx_17,store_2,2026-01-10 19:22:00,sku_4,1,10.51,10.51
tx_18,store_3,2026-01-23 22:30:00,sku_1,3,1.58,4.74
tx_19,store_3,2026-01-19 20:49:00,sku_3,3,9.04,27.12
tx_20,store_2,2026-01-09 19:09:00,sku_3,2,10.4,20.8
tx_21,store_1,2026-01-18 21:40:00,sku_5,3,2.82,8.46
tx_22,store_3,2026-01-22 11:00:00,sku_5,1,4.03,4.03
tx_23,store_3,2026-01-23 07:31:00,sku_1,3,2.33,6.99
tx_24,store_3,2026-01-26 02:05:00,sku_6,4,6.91,27.64
tx_25,store_2,2026-01-15 08:40:00,sku_7,1,4.45,4.45
tx_26,store_1,2026-01-20 02:13:00,sku_5,1,4.42,4.42
